time,topic,body
2025-05-01 07:06:28.590039+03,Auton_json/A125-10/0327/ProcessResult,"{""Level"": 0.4563305675983429, ""ClassId"": 22126, ""StartDate"": ""2025-05-01T07:06:31.000Z""}"
2025-05-01 07:06:28.597283+03,Auton_json/A555-10/1024/ProcessResult,"{""ClassId"": 22550, ""StartDate"": ""2025-05-01T07:06:31.000Z"", ""StateChangedCounter"": 566}"
2025-05-01 07:06:28.601205+03,Auton_json/A835/0552/ProcessResult,"{""ClassId"": 22820, ""StartDate"": ""2025-05-01T07:06:31.000Z"", ""TemperatureC"": ""-31.300""}"
2025-05-01 07:06:28.605564+03,Auton_json/A855-50/0915/ProcessResult,"{""ClassId"": 22800, ""StartDate"": ""2025-05-01T07:06:31.000Z"", ""TemperatureC"": [""-39.790"", ""-18.090"", ""20.230"", ""39.960""]}"
2025-05-01 07:06:28.609103+03,Auton_json/A405-10/0512/ProcessResult,"{""ClassId"": 22406, ""CurrentA"": 0.25638359785079956, ""CurrentB"": 75.29891204833984, ""CurrentC"": 31.040395736694336, ""StartDate"": ""2025-05-01T07:06:31.000Z""}"
2025-05-01 07:08:30.301534+03,Auton_json/A835/0551/ProcessResult,"{""ClassId"": 22821, ""StartDate"": ""2025-05-01T07:08:31.000Z"", ""PressureAt"": ""0.8916908424""}"
2025-05-01 07:08:30.308037+03,Auton_json/A125/0326/ProcessResult,"{""ClassId"": 22125, ""Distance"": 5.690370082855225, ""StartDate"": ""2025-05-01T07:08:31.000Z""}"
2025-05-01 07:06:28.612835+03,Auton_json/A605-20/1856/ProcessResult,"{""ClassId"": 22559, ""StartDate"": ""2025-05-01T07:06:31.000Z"", ""TemperatureC_1"": ""37.920"", ""TemperatureC_2"": ""29.190"", ""VibrationTemperatureC_1"": ""-27.340"", ""VibrationTemperatureC_2"": ""29.190"", ""XVibrationVelocityRmsMPerS_1"": ""0.00025"", ""XVibrationVelocityRmsMPerS_2"": ""0.01087"", ""YVibrationVelocityRmsMPerS_1"": ""0.07529"", ""YVibrationVelocityRmsMPerS_2"": ""0.05505"", ""ZVibrationVelocityRmsMPerS_1"": ""0.07868"", ""ZVibrationVelocityRmsMPerS_2"": ""0.09459""}"
2025-05-01 07:06:28.616909+03,Auton_json/A205/0008/ProcessResult,"{""ClassId"": 22205, ""StartDate"": ""2025-05-01T07:06:31.000Z"", ""Concentration"": 0.0000029113532491464866, ""CasRegistryNumber"": 7783064}"
2025-05-01 07:06:28.621038+03,Auton_json/A605-20/1858/ProcessResult,"{""ClassId"": 22609, ""StartDate"": ""2025-05-01T07:06:31.000Z"", ""TemperatureC_1"": ""-31.300"", ""TemperatureC_2"": ""4.040"", ""VibrationTemperatureC_1"": ""-39.790"", ""VibrationTemperatureC_2"": ""4.040"", ""XVibrationAccelerationRmsMPerS2_1"": ""0.000"", ""XVibrationAccelerationRmsMPerS2_2"": ""0.100"", ""YVibrationAccelerationRmsMPerS2_1"": ""0.750"", ""YVibrationAccelerationRmsMPerS2_2"": ""0.550"", ""ZVibrationAccelerationRmsMPerS2_1"": ""0.780"", ""ZVibrationAccelerationRmsMPerS2_2"": ""0.940""}"
2025-05-01 07:06:58.966027+03,Auton_json/A555-10/1023/ProcessResult,"{""ClassId"": 22555, ""StartDate"": ""2025-05-01T07:07:01.000Z"", ""DiscreteStatus"": 1}"
2025-05-01 07:07:29.355186+03,Auton_json/A205/0006/ProcessResult,"{""ClassId"": 22205, ""StartDate"": ""2025-05-01T07:07:30.000Z"", ""Concentration"": 0.35753998160362244, ""CasRegistryNumber"": 7783064}"
2025-05-01 07:07:29.387616+03,Auton_json/A555-10/1022/ProcessResult,"{""ClassId"": 22556, ""StartDate"": ""2025-05-01T07:07:30.000Z"", ""DiscreteStatus"": 0}"
2025-05-01 07:07:29.414265+03,Auton_json/A555-10/1025/ProcessResult,"{""ClassId"": 22551, ""StartDate"": ""2025-05-01T07:07:30.000Z"", ""FrequencyRpm"": 62.173072814941406}"
2025-05-01 07:07:29.417711+03,Auton_json/A205/0010/ProcessResult,"{""ClassId"": 22205, ""StartDate"": ""2025-05-01T07:07:30.000Z"", ""Concentration"": 0.005363741889595985, ""CasRegistryNumber"": 74986}"
2025-05-01 07:07:29.421427+03,Auton_json/A835/0551/ProcessResult,"{""ClassId"": 22821, ""StartDate"": ""2025-05-01T07:07:30.000Z"", ""PressureAt"": ""0.7087741482""}"
2025-05-01 07:07:29.427383+03,Auton_json/A125/0326/ProcessResult,"{""ClassId"": 22125, ""Distance"": 4.569249629974365, ""StartDate"": ""2025-05-01T07:07:30.000Z""}"
2025-05-01 07:07:29.43033+03,Auton_json/A605-10/0791/ProcessResult,"{""ClassId"": 22558, ""StartDate"": ""2025-05-01T07:07:31.000Z"", ""TemperatureC"": ""32.860"", ""VibrationTemperatureC"": ""-34.410"", ""XVibrationVelocityRmsMPerS"": ""0.01582"", ""YVibrationVelocityRmsMPerS"": ""0.09740"", ""ZVibrationVelocityRmsMPerS"": ""0.04472""}"
2025-05-01 07:07:29.433883+03,Auton_json/A405/0123/ProcessResult,"{""ClassId"": 22405, ""Current"": 31.040395736694336, ""StartDate"": ""2025-05-01T07:07:31.000Z""}"
2025-05-01 07:07:29.43754+03,Auton_json/A605-10/0792/ProcessResult,"{""ClassId"": 22606, ""StartDate"": ""2025-05-01T07:07:31.000Z"", ""TemperatureC"": ""22.800"", ""VibrationTemperatureC"": ""-27.340"", ""XVibrationDisplacementRmsM"": ""0.00015820"", ""YVibrationDisplacementRmsM"": ""0.00097400"", ""ZVibrationDisplacementRmsM"": ""0.00044720""}"
2025-05-01 07:07:29.44125+03,Auton_json/A835/0553/ProcessResult,"{""ClassId"": 22822, ""StartDate"": ""2025-05-01T07:07:31.000Z"", ""PressureAt"": ""0.3022540827"", ""TemperatureC"": ""-15.160""}"
2025-05-01 07:07:29.44497+03,Auton_json/A845/0914/ProcessResult,"{""ClassId"": 22557, ""StartDate"": ""2025-05-01T07:07:31.000Z"", ""TemperatureC"": ""-7.230""}"
2025-05-01 07:07:29.448753+03,Auton_json/A605-20/1857/ProcessResult,"{""ClassId"": 22607, ""StartDate"": ""2025-05-01T07:07:31.000Z"", ""TemperatureC_1"": ""32.860"", ""TemperatureC_2"": ""22.800"", ""VibrationTemperatureC_1"": ""-34.410"", ""VibrationTemperatureC_2"": ""20.390"", ""XVibrationDisplacementRmsM_1"": ""0.00000820"", ""XVibrationDisplacementRmsM_2"": ""0.00003730"", ""YVibrationDisplacementRmsM_1"": ""0.00062240"", ""YVibrationDisplacementRmsM_2"": ""0.00040950"", ""ZVibrationDisplacementRmsM_1"": ""0.00088980"", ""ZVibrationDisplacementRmsM_2"": ""0.00086490""}"
2025-05-01 07:07:29.452281+03,Auton_json/A605-10/0793/ProcessResult,"{""ClassId"": 22608, ""StartDate"": ""2025-05-01T07:07:31.000Z"", ""TemperatureC"": ""-37.010"", ""VibrationTemperatureC"": ""-15.160"", ""XVibrationAccelerationRmsMPerS2"": ""0.150"", ""YVibrationAccelerationRmsMPerS2"": ""0.970"", ""ZVibrationAccelerationRmsMPerS2"": ""0.440""}"
2025-05-01 07:07:29.455823+03,Auton_json/A125-10/0327/ProcessResult,"{""Level"": 0.032047949731349945, ""ClassId"": 22126, ""StartDate"": ""2025-05-01T07:07:31.000Z""}"
2025-05-01 07:07:29.459594+03,Auton_json/A555-10/1024/ProcessResult,"{""ClassId"": 22550, ""StartDate"": ""2025-05-01T07:07:31.000Z"", ""StateChangedCounter"": 931}"
2025-05-01 07:07:29.463402+03,Auton_json/A835/0552/ProcessResult,"{""ClassId"": 22820, ""StartDate"": ""2025-05-01T07:07:31.000Z"", ""TemperatureC"": ""-37.010""}"
2025-05-01 07:07:29.467917+03,Auton_json/A855-50/0915/ProcessResult,"{""ClassId"": 22800, ""StartDate"": ""2025-05-01T07:07:31.000Z"", ""TemperatureC"": [""-39.340"", ""-27.340"", ""9.790"", ""37.920""]}"
2025-05-01 07:07:29.471401+03,Auton_json/A405-10/0512/ProcessResult,"{""ClassId"": 22406, ""CurrentA"": 0.8246706128120422, ""CurrentB"": 62.240821838378906, ""CurrentC"": 44.72296142578125, ""StartDate"": ""2025-05-01T07:07:31.000Z""}"
2025-05-01 07:07:29.47533+03,Auton_json/A605-20/1856/ProcessResult,"{""ClassId"": 22559, ""StartDate"": ""2025-05-01T07:07:31.000Z"", ""TemperatureC_1"": ""32.860"", ""TemperatureC_2"": ""20.390"", ""VibrationTemperatureC_1"": ""-34.410"", ""VibrationTemperatureC_2"": ""20.390"", ""XVibrationVelocityRmsMPerS_1"": ""0.00082"", ""XVibrationVelocityRmsMPerS_2"": ""0.00373"", ""YVibrationVelocityRmsMPerS_1"": ""0.06224"", ""YVibrationVelocityRmsMPerS_2"": ""0.04095"", ""ZVibrationVelocityRmsMPerS_1"": ""0.08898"", ""ZVibrationVelocityRmsMPerS_2"": ""0.08649""}"
2025-05-01 07:07:29.479239+03,Auton_json/A205/0008/ProcessResult,"{""ClassId"": 22205, ""StartDate"": ""2025-05-01T07:07:31.000Z"", ""Concentration"": 0.000004725019152829191, ""CasRegistryNumber"": 7783064}"
2025-05-01 07:07:29.493604+03,Auton_json/A605-20/1858/ProcessResult,"{""ClassId"": 22609, ""StartDate"": ""2025-05-01T07:07:31.000Z"", ""TemperatureC_1"": ""-37.010"", ""TemperatureC_2"": ""-7.230"", ""VibrationTemperatureC_1"": ""-39.340"", ""VibrationTemperatureC_2"": ""-7.230"", ""XVibrationAccelerationRmsMPerS2_1"": ""0.000"", ""XVibrationAccelerationRmsMPerS2_2"": ""0.030"", ""YVibrationAccelerationRmsMPerS2_1"": ""0.620"", ""YVibrationAccelerationRmsMPerS2_2"": ""0.400"", ""ZVibrationAccelerationRmsMPerS2_1"": ""0.880"", ""ZVibrationAccelerationRmsMPerS2_2"": ""0.860""}"
2025-05-01 07:07:59.831317+03,Auton_json/A555-10/1023/ProcessResult,"{""ClassId"": 22555, ""StartDate"": ""2025-05-01T07:08:01.000Z"", ""DiscreteStatus"": 1}"
2025-05-01 07:08:30.224866+03,Auton_json/A205/0006/ProcessResult,"{""ClassId"": 22205, ""StartDate"": ""2025-05-01T07:08:31.000Z"", ""Concentration"": 0.44722962379455566, ""CasRegistryNumber"": 7783064}"
2025-05-01 07:08:30.268639+03,Auton_json/A555-10/1022/ProcessResult,"{""ClassId"": 22556, ""StartDate"": ""2025-05-01T07:08:31.000Z"", ""DiscreteStatus"": 1}"
2025-05-01 07:08:30.294827+03,Auton_json/A555-10/1025/ProcessResult,"{""ClassId"": 22551, ""StartDate"": ""2025-05-01T07:08:31.000Z"", ""FrequencyRpm"": 8.37753677368164}"
2025-05-01 07:08:30.311845+03,Auton_json/A605-10/0791/ProcessResult,"{""ClassId"": 22558, ""StartDate"": ""2025-05-01T07:08:31.000Z"", ""TemperatureC"": ""25.180"", ""VibrationTemperatureC"": ""-38.730"", ""XVibrationVelocityRmsMPerS"": ""0.00698"", ""YVibrationVelocityRmsMPerS"": ""0.09107"", ""ZVibrationVelocityRmsMPerS"": ""0.05882""}"
2025-05-01 07:08:30.319481+03,Auton_json/A405/0123/ProcessResult,"{""ClassId"": 22405, ""Current"": 44.72296142578125, ""StartDate"": ""2025-05-01T07:08:31.000Z""}"
2025-05-01 07:08:30.322991+03,Auton_json/A605-10/0792/ProcessResult,"{""ClassId"": 22606, ""StartDate"": ""2025-05-01T07:08:31.000Z"", ""TemperatureC"": ""31.070"", ""VibrationTemperatureC"": ""-34.410"", ""XVibrationDisplacementRmsM"": ""0.00006980"", ""YVibrationDisplacementRmsM"": ""0.00091070"", ""ZVibrationDisplacementRmsM"": ""0.00058820""}"
2025-05-01 07:08:30.326524+03,Auton_json/A835/0553/ProcessResult,"{""ClassId"": 22822, ""StartDate"": ""2025-05-01T07:08:31.000Z"", ""PressureAt"": ""0.1220600307"", ""TemperatureC"": ""-4.220""}"
2025-05-01 07:08:30.330539+03,Auton_json/A845/0914/ProcessResult,"{""ClassId"": 22557, ""StartDate"": ""2025-05-01T07:08:31.000Z"", ""TemperatureC"": ""-17.930""}"
2025-05-01 07:08:30.333748+03,Auton_json/A605-20/1857/ProcessResult,"{""ClassId"": 22607, ""StartDate"": ""2025-05-01T07:08:31.000Z"", ""TemperatureC_1"": ""25.180"", ""TemperatureC_2"": ""31.070"", ""VibrationTemperatureC_1"": ""-38.730"", ""VibrationTemperatureC_2"": ""9.960"", ""XVibrationDisplacementRmsM_1"": ""0.00005310"", ""XVibrationDisplacementRmsM_2"": ""0.00000270"", ""YVibrationDisplacementRmsM_1"": ""0.00048200"", ""YVibrationDisplacementRmsM_2"": ""0.00027570"", ""ZVibrationDisplacementRmsM_1"": ""0.00096180"", ""ZVibrationDisplacementRmsM_2"": ""0.00075480""}"
2025-05-01 07:08:30.337646+03,Auton_json/A605-10/0793/ProcessResult,"{""ClassId"": 22608, ""StartDate"": ""2025-05-01T07:08:31.000Z"", ""TemperatureC"": ""-39.770"", ""VibrationTemperatureC"": ""-4.220"", ""XVibrationAccelerationRmsMPerS2"": ""0.060"", ""YVibrationAccelerationRmsMPerS2"": ""0.910"", ""ZVibrationAccelerationRmsMPerS2"": ""0.580""}"
2025-05-01 07:08:30.345233+03,Auton_json/A125-10/0327/ProcessResult,"{""Level"": 0.10308382660150528, ""ClassId"": 22126, ""StartDate"": ""2025-05-01T07:08:31.000Z""}"
2025-05-01 07:08:30.348576+03,Auton_json/A555-10/1024/ProcessResult,"{""ClassId"": 22550, ""StartDate"": ""2025-05-01T07:08:31.000Z"", ""StateChangedCounter"": 1341}"
2025-05-01 07:08:30.352568+03,Auton_json/A835/0552/ProcessResult,"{""ClassId"": 22820, ""StartDate"": ""2025-05-01T07:08:31.000Z"", ""TemperatureC"": ""-39.770""}"
2025-05-01 07:08:30.356348+03,Auton_json/A855-50/0915/ProcessResult,"{""ClassId"": 22800, ""StartDate"": ""2025-05-01T07:08:31.000Z"", ""TemperatureC"": [""-35.750"", ""-34.410"", ""-1.430"", ""32.860""]}"
2025-05-01 07:08:30.37052+03,Auton_json/A405-10/0512/ProcessResult,"{""ClassId"": 22406, ""CurrentA"": 5.310235977172852, ""CurrentB"": 48.207637786865234, ""CurrentC"": 58.82589340209961, ""StartDate"": ""2025-05-01T07:08:31.000Z""}"
2025-05-01 07:08:30.374298+03,Auton_json/A605-20/1856/ProcessResult,"{""ClassId"": 22559, ""StartDate"": ""2025-05-01T07:08:31.000Z"", ""TemperatureC_1"": ""25.180"", ""TemperatureC_2"": ""9.960"", ""VibrationTemperatureC_1"": ""-38.730"", ""VibrationTemperatureC_2"": ""9.960"", ""XVibrationVelocityRmsMPerS_1"": ""0.00531"", ""XVibrationVelocityRmsMPerS_2"": ""0.00027"", ""YVibrationVelocityRmsMPerS_1"": ""0.04820"", ""YVibrationVelocityRmsMPerS_2"": ""0.02757"", ""ZVibrationVelocityRmsMPerS_1"": ""0.09618"", ""ZVibrationVelocityRmsMPerS_2"": ""0.07548""}"
2025-05-01 07:08:30.378189+03,Auton_json/A205/0008/ProcessResult,"{""ClassId"": 22205, ""StartDate"": ""2025-05-01T07:08:31.000Z"", ""Concentration"": 0.000006763721103197895, ""CasRegistryNumber"": 7783064}"
2025-05-01 07:08:30.381672+03,Auton_json/A605-20/1858/ProcessResult,"{""ClassId"": 22609, ""StartDate"": ""2025-05-01T07:08:31.000Z"", ""TemperatureC_1"": ""-39.770"", ""TemperatureC_2"": ""-17.930"", ""VibrationTemperatureC_1"": ""-35.750"", ""VibrationTemperatureC_2"": ""-17.930"", ""XVibrationAccelerationRmsMPerS2_1"": ""0.050"", ""XVibrationAccelerationRmsMPerS2_2"": ""0.000"", ""YVibrationAccelerationRmsMPerS2_1"": ""0.480"", ""YVibrationAccelerationRmsMPerS2_2"": ""0.270"", ""ZVibrationAccelerationRmsMPerS2_1"": ""0.960"", ""ZVibrationAccelerationRmsMPerS2_2"": ""0.750""}"
2025-05-01 07:08:57.122955+03,Auton_json/A405/0123/ProcessResult,"{""ClassId"": 22405, ""Current"": 44.72296142578125, ""StartDate"": ""2025-05-01T07:08:31.000Z""}"
2025-05-01 07:08:57.130995+03,Auton_json/A405/0123/DeviceState,"{""ClassId"": 19003, ""StartDate"": ""2025-05-01T07:04:48.000Z"", ""BatteryLevel"": 86, ""RemoteConnectionLevel"": 67}"
2025-05-01 07:08:57.134034+03,Auton_json/A605-10/0791/ProcessResult,"{""ClassId"": 22558, ""StartDate"": ""2025-05-01T07:08:31.000Z"", ""TemperatureC"": ""25.180"", ""VibrationTemperatureC"": ""-38.730"", ""XVibrationVelocityRmsMPerS"": ""0.00698"", ""YVibrationVelocityRmsMPerS"": ""0.09107"", ""ZVibrationVelocityRmsMPerS"": ""0.05882""}"
2025-05-01 07:08:57.139452+03,Auton_json/A605-10/0791/DeviceState,"{""ClassId"": 19003, ""StartDate"": ""2025-05-01T07:04:53.000Z"", ""BatteryLevel"": 65, ""RemoteConnectionLevel"": 87}"
2025-05-01 07:08:57.142733+03,Auton_json/A605-10/0792/ProcessResult,"{""ClassId"": 22606, ""StartDate"": ""2025-05-01T07:08:31.000Z"", ""TemperatureC"": ""31.070"", ""VibrationTemperatureC"": ""-34.410"", ""XVibrationDisplacementRmsM"": ""0.00006980"", ""YVibrationDisplacementRmsM"": ""0.00091070"", ""ZVibrationDisplacementRmsM"": ""0.00058820""}"
2025-05-01 07:08:57.146438+03,Auton_json/A605-10/0793/ProcessResult,"{""ClassId"": 22608, ""StartDate"": ""2025-05-01T07:08:31.000Z"", ""TemperatureC"": ""-39.770"", ""VibrationTemperatureC"": ""-4.220"", ""XVibrationAccelerationRmsMPerS2"": ""0.060"", ""YVibrationAccelerationRmsMPerS2"": ""0.910"", ""ZVibrationAccelerationRmsMPerS2"": ""0.580""}"
2025-05-01 07:08:57.150107+03,Auton_json/A835/0551/ProcessResult,"{""ClassId"": 22821, ""StartDate"": ""2025-05-01T07:08:31.000Z"", ""PressureAt"": ""0.8916908424""}"
2025-05-01 07:08:57.153738+03,Auton_json/A835/0551/DeviceState,"{""ClassId"": 19003, ""StartDate"": ""2025-05-01T07:04:48.000Z"", ""BatteryLevel"": 41, ""RemoteConnectionLevel"": 98}"
2025-05-01 07:08:57.157393+03,Auton_json/A835/0553/ProcessResult,"{""ClassId"": 22822, ""StartDate"": ""2025-05-01T07:08:31.000Z"", ""PressureAt"": ""0.1220600307"", ""TemperatureC"": ""-4.220""}"
2025-05-01 07:08:57.161248+03,Auton_json/A835/0552/ProcessResult,"{""ClassId"": 22820, ""StartDate"": ""2025-05-01T07:08:31.000Z"", ""TemperatureC"": ""-39.770""}"
2025-05-01 07:08:57.16503+03,Auton_json/A125/0326/ProcessResult,"{""ClassId"": 22125, ""Distance"": 5.690370082855225, ""StartDate"": ""2025-05-01T07:08:31.000Z""}"
2025-05-01 07:08:57.16852+03,Auton_json/A125/0326/DeviceState,"{""ClassId"": 19003, ""StartDate"": ""2025-05-01T07:04:53.000Z"", ""BatteryLevel"": 65, ""RemoteConnectionLevel"": 87}"
2025-05-01 07:08:57.17217+03,Auton_json/A205/0006/ProcessResult,"{""ClassId"": 22205, ""StartDate"": ""2025-05-01T07:08:31.000Z"", ""Concentration"": 0.44722962379455566, ""CasRegistryNumber"": 7783064}"
2025-05-01 07:08:57.175589+03,Auton_json/A205/0006/DeviceState,"{""ClassId"": 19003, ""StartDate"": ""2025-05-01T07:04:48.000Z"", ""BatteryLevel"": 41, ""RemoteConnectionLevel"": 98}"
2025-05-01 07:08:57.179599+03,Auton_json/A205/0008/ProcessResult,"{""ClassId"": 22205, ""StartDate"": ""2025-05-01T07:08:31.000Z"", ""Concentration"": 0.000006763721103197895, ""CasRegistryNumber"": 7783064}"
2025-05-01 07:08:57.183037+03,Auton_json/A205/0010/ProcessResult,"{""ClassId"": 22205, ""StartDate"": ""2025-05-01T07:08:31.000Z"", ""Concentration"": 0.006708996836096048, ""CasRegistryNumber"": 74986}"
2025-05-01 07:08:57.186633+03,Auton_json/A555-10/1022/ProcessResult,"{""ClassId"": 22556, ""StartDate"": ""2025-05-01T07:08:31.000Z"", ""DiscreteStatus"": 1}"
2025-05-01 07:08:57.19019+03,Auton_json/A555-10/1022/DeviceState,"{""ClassId"": 19003, ""StartDate"": ""2025-05-01T07:04:48.000Z"", ""BatteryLevel"": 41, ""RemoteConnectionLevel"": 98}"
2025-05-01 07:08:57.194846+03,Auton_json/A555-10/1024/ProcessResult,"{""ClassId"": 22550, ""StartDate"": ""2025-05-01T07:08:31.000Z"", ""StateChangedCounter"": 1341}"
2025-05-01 07:08:57.198428+03,Auton_json/A555-10/1023/ProcessResult,"{""ClassId"": 22555, ""StartDate"": ""2025-05-01T07:08:01.000Z"", ""DiscreteStatus"": 1}"
2025-05-01 07:08:57.202181+03,Auton_json/A555-10/1025/ProcessResult,"{""ClassId"": 22551, ""StartDate"": ""2025-05-01T07:08:31.000Z"", ""FrequencyRpm"": 8.37753677368164}"
2025-05-01 07:08:57.205785+03,Auton_json/A845/0914/ProcessResult,"{""ClassId"": 22557, ""StartDate"": ""2025-05-01T07:08:31.000Z"", ""TemperatureC"": ""-17.930""}"
2025-05-01 07:08:57.209392+03,Auton_json/A845/0914/DeviceState,"{""ClassId"": 19003, ""StartDate"": ""2025-05-01T07:04:48.000Z"", ""BatteryLevel"": 41, ""RemoteConnectionLevel"": 98}"
2025-05-01 07:08:57.213342+03,Auton_json/A605-20/1857/ProcessResult,"{""ClassId"": 22607, ""StartDate"": ""2025-05-01T07:08:31.000Z"", ""TemperatureC_1"": ""25.180"", ""TemperatureC_2"": ""31.070"", ""VibrationTemperatureC_1"": ""-38.730"", ""VibrationTemperatureC_2"": ""9.960"", ""XVibrationDisplacementRmsM_1"": ""0.00005310"", ""XVibrationDisplacementRmsM_2"": ""0.00000270"", ""YVibrationDisplacementRmsM_1"": ""0.00048200"", ""YVibrationDisplacementRmsM_2"": ""0.00027570"", ""ZVibrationDisplacementRmsM_1"": ""0.00096180"", ""ZVibrationDisplacementRmsM_2"": ""0.00075480""}"
2025-05-01 07:08:57.216779+03,Auton_json/A605-20/1856/ProcessResult,"{""ClassId"": 22559, ""StartDate"": ""2025-05-01T07:08:31.000Z"", ""TemperatureC_1"": ""25.180"", ""TemperatureC_2"": ""9.960"", ""VibrationTemperatureC_1"": ""-38.730"", ""VibrationTemperatureC_2"": ""9.960"", ""XVibrationVelocityRmsMPerS_1"": ""0.00531"", ""XVibrationVelocityRmsMPerS_2"": ""0.00027"", ""YVibrationVelocityRmsMPerS_1"": ""0.04820"", ""YVibrationVelocityRmsMPerS_2"": ""0.02757"", ""ZVibrationVelocityRmsMPerS_1"": ""0.09618"", ""ZVibrationVelocityRmsMPerS_2"": ""0.07548""}"
2025-05-01 07:08:57.22063+03,Auton_json/A605-20/1856/DeviceState,"{""ClassId"": 19003, ""StartDate"": ""2025-05-01T07:04:53.000Z"", ""BatteryLevel"": 65, ""RemoteConnectionLevel"": 87}"
2025-05-01 07:08:57.224002+03,Auton_json/A605-20/1858/ProcessResult,"{""ClassId"": 22609, ""StartDate"": ""2025-05-01T07:08:31.000Z"", ""TemperatureC_1"": ""-39.770"", ""TemperatureC_2"": ""-17.930"", ""VibrationTemperatureC_1"": ""-35.750"", ""VibrationTemperatureC_2"": ""-17.930"", ""XVibrationAccelerationRmsMPerS2_1"": ""0.050"", ""XVibrationAccelerationRmsMPerS2_2"": ""0.000"", ""YVibrationAccelerationRmsMPerS2_1"": ""0.480"", ""YVibrationAccelerationRmsMPerS2_2"": ""0.270"", ""ZVibrationAccelerationRmsMPerS2_1"": ""0.960"", ""ZVibrationAccelerationRmsMPerS2_2"": ""0.750""}"
2025-05-01 07:08:57.229527+03,Auton_json/A125-10/0327/ProcessResult,"{""Level"": 0.10308382660150528, ""ClassId"": 22126, ""StartDate"": ""2025-05-01T07:08:31.000Z""}"
2025-05-01 07:08:57.233305+03,Auton_json/A405-10/0512/ProcessResult,"{""ClassId"": 22406, ""CurrentA"": 5.310235977172852, ""CurrentB"": 48.207637786865234, ""CurrentC"": 58.82589340209961, ""StartDate"": ""2025-05-01T07:08:31.000Z""}"
2025-05-01 07:08:57.236835+03,Auton_json/A405-10/0512/DeviceState,"{""ClassId"": 19003, ""StartDate"": ""2025-05-01T07:04:48.000Z"", ""BatteryLevel"": 41, ""RemoteConnectionLevel"": 98}"
2025-05-01 07:08:57.240822+03,Auton_json/A855-50/0915/ProcessResult,"{""ClassId"": 22800, ""StartDate"": ""2025-05-01T07:08:31.000Z"", ""TemperatureC"": [""-35.750"", ""-34.410"", ""-1.430"", ""32.860""]}"
2025-05-01 07:08:57.244468+03,Auton_json/A225/0343/DeviceState,"{""ClassId"": 19003, ""StartDate"": ""2025-05-01T07:05:10.000Z"", ""BatteryLevel"": 95, ""RemoteConnectionLevel"": 14}"
2025-05-01 07:08:57.24806+03,Auton_json/A215/0831/DeviceState,"{""ClassId"": 19003, ""StartDate"": ""2025-05-01T07:05:20.000Z"", ""BatteryLevel"": 58, ""RemoteConnectionLevel"": 3}"
2025-05-01 07:09:27.918847+03,Auton_json/A405/0123/ProcessResult,"{""ClassId"": 22405, ""Current"": 44.72296142578125, ""StartDate"": ""2025-05-01T07:08:31.000Z""}"
2025-05-01 07:09:27.926908+03,Auton_json/A405/0123/DeviceState,"{""ClassId"": 19003, ""StartDate"": ""2025-05-01T07:04:48.000Z"", ""BatteryLevel"": 86, ""RemoteConnectionLevel"": 67}"
2025-05-01 07:09:27.930541+03,Auton_json/A605-10/0791/ProcessResult,"{""ClassId"": 22558, ""StartDate"": ""2025-05-01T07:08:31.000Z"", ""TemperatureC"": ""25.180"", ""VibrationTemperatureC"": ""-38.730"", ""XVibrationVelocityRmsMPerS"": ""0.00698"", ""YVibrationVelocityRmsMPerS"": ""0.09107"", ""ZVibrationVelocityRmsMPerS"": ""0.05882""}"
2025-05-01 07:09:27.9343+03,Auton_json/A605-10/0791/DeviceState,"{""ClassId"": 19003, ""StartDate"": ""2025-05-01T07:04:53.000Z"", ""BatteryLevel"": 65, ""RemoteConnectionLevel"": 87}"
2025-05-01 07:09:27.938235+03,Auton_json/A605-10/0792/ProcessResult,"{""ClassId"": 22606, ""StartDate"": ""2025-05-01T07:08:31.000Z"", ""TemperatureC"": ""31.070"", ""VibrationTemperatureC"": ""-34.410"", ""XVibrationDisplacementRmsM"": ""0.00006980"", ""YVibrationDisplacementRmsM"": ""0.00091070"", ""ZVibrationDisplacementRmsM"": ""0.00058820""}"
2025-05-01 07:09:27.942288+03,Auton_json/A605-10/0793/ProcessResult,"{""ClassId"": 22608, ""StartDate"": ""2025-05-01T07:08:31.000Z"", ""TemperatureC"": ""-39.770"", ""VibrationTemperatureC"": ""-4.220"", ""XVibrationAccelerationRmsMPerS2"": ""0.060"", ""YVibrationAccelerationRmsMPerS2"": ""0.910"", ""ZVibrationAccelerationRmsMPerS2"": ""0.580""}"
2025-05-01 07:09:27.945887+03,Auton_json/A835/0551/ProcessResult,"{""ClassId"": 22821, ""StartDate"": ""2025-05-01T07:08:31.000Z"", ""PressureAt"": ""0.8916908424""}"
2025-05-01 07:09:27.949552+03,Auton_json/A835/0551/DeviceState,"{""ClassId"": 19003, ""StartDate"": ""2025-05-01T07:04:48.000Z"", ""BatteryLevel"": 41, ""RemoteConnectionLevel"": 98}"
2025-05-01 07:09:27.953162+03,Auton_json/A835/0553/ProcessResult,"{""ClassId"": 22822, ""StartDate"": ""2025-05-01T07:08:31.000Z"", ""PressureAt"": ""0.1220600307"", ""TemperatureC"": ""-4.220""}"
2025-05-01 07:09:27.95689+03,Auton_json/A835/0552/ProcessResult,"{""ClassId"": 22820, ""StartDate"": ""2025-05-01T07:08:31.000Z"", ""TemperatureC"": ""-39.770""}"
